,DEwords,DEcount
0,data,381
1,python,222
2,sql,213
3,science,207
4,development,200
5,degree,195
6,design,192
7,engineering,189
8,systems,187
9,tools,185
10,computer,183
11,business,178
12,technologies,172
13,solutions,168
14,technical,167
15,spark,160
16,pipelines,154
17,big,150
18,management,149
19,aws,146
20,software,144
21,etl,143
22,develop,142
23,cloud,140
24,bachelors,136
25,team,135
26,build,133
27,java,132
28,communication,129
29,support,127
30,hadoop,126
31,building,123
32,processing,116
33,databases,111
34,analysis,111
35,architecture,110
36,database,105
37,understanding,103
38,complex,102
39,programming,102
40,processes,101
41,languages,100
42,teams,100
43,services,99
44,performance,98
45,practices,97
46,analytics,97
47,implement,95
48,maintain,95
49,infrastructure,94
