,DBAwords,DBAcount
0,database,484
1,sql,338
2,data,326
3,performance,312
4,databases,300
5,systems,292
6,degree,288
7,management,276
8,support,272
9,server,264
10,security,254
11,design,250
12,bachelors,220
13,development,218
14,administration,218
15,team,212
16,oracle,210
17,tuning,208
18,communication,206
19,procedures,204
20,technical,202
21,recovery,200
22,computer,196
23,maintain,192
24,issues,180
25,tools,178
26,software,174
27,business,168
28,backup,168
29,monitoring,166
30,application,164
31,science,164
32,information,158
33,maintenance,156
34,written,152
35,processes,148
36,production,148
37,availability,144
38,multiple,142
39,develop,142
40,manage,140
41,implement,140
42,solutions,140
43,understanding,140
44,must,134
45,perform,132
46,dba,128
47,complex,128
48,applications,126
49,documentation,124
