,Statwords,Statcount
0,statistical,99
1,data,89
2,analysis,72
3,design,59
4,statistics,58
5,methods,54
6,communication,51
7,research,49
8,development,48
9,team,46
10,sas,45
11,projects,44
12,management,44
13,programming,44
14,andor,41
15,written,41
16,degree,40
17,clinical,38
18,results,37
19,project,37
20,technical,37
21,phd,37
22,relevant,36
23,analyses,36
24,review,34
25,develop,33
26,support,33
27,software,31
28,study,31
29,scientific,30
30,reports,28
31,biostatistics,28
32,lead,27
33,teams,27
34,multiple,27
35,activities,26
36,program,26
37,techniques,26
38,plans,26
39,statistician,26
40,regulatory,25
41,communicate,25
42,conduct,25
43,ms,25
44,quantitative,24
45,business,24
46,understanding,24
47,may,24
48,programs,24
49,appropriate,24
